code,name,price,date
bj920000,安徽凤凰,12.03,2024-03-15
bj920001,纬达光电,14.64,2024-03-15
bj920002,万达轴承,65.82,2024-03-15
bj920003,中诚咨询,26.8,2024-03-15
bj920005,鼎佳精密,27.25,2024-03-15
bj920006,晟楠科技,15.9,2024-03-15
bj920007,酉立智能,37.73,2024-03-15
bj920008,成电光信,20.58,2024-03-15
bj920009,丹娜生物,42.23,2024-03-15
bj920010,凯添燃气,7.79,2024-03-15
bj920011,晨光电机,24.01,2024-03-15
bj920012,创达新材,63.87,2024-03-15
bj920014,XD特瑞斯,8.24,2024-03-15
bj920015,锦华新材,56.58,2024-03-15
bj920016,中草香料,12.48,2024-03-15
bj920017,星昊医药,17.23,2024-03-15
bj920018,宏远股份,15.08,2024-03-15
bj920019,铜冠矿建,16.57,2024-03-15
bj920020,泰凯英,16.3,2024-03-15
bj920021,流金科技,7.36,2024-03-15
bj920022,世昌股份,20.54,2024-03-15
bj920023,*ST田野,1.73,2024-03-15
bj920026,卓兆点胶,22.3,2024-03-15
bj920027,交大铁发,11.15,2024-03-15
bj920028,新恒泰,16.0,2024-03-15
bj920029,开发科技,35.55,2024-03-15
bj920030,德众汽车,4.45,2024-03-15
bj920033,康普化学,15.12,2024-03-15
bj920035,精创电气,31.21,2024-03-15
bj920036,觅睿科技,37.85,2024-03-15
bj920037,广信科技,41.47,2024-03-15
bj920039,国义招标,7.61,2024-03-15
bj920045,蘅东光,539.0,2024-03-15
bj920046,亿能电力,22.53,2024-03-15
bj920047,诺思兰德,20.68,2024-03-15
bj920050,爱伦医疗,27.35,2024-03-15
bj920055,隆源股份,29.18,2024-03-15
bj920056,能之光,18.12,2024-03-15
bj920057,百甲科技,4.83,2024-03-15
bj920058,华洋赛车,20.48,2024-03-15
bj920060,万源通,26.7,2024-03-15
bj920061,西磁科技,21.23,2024-03-15
bj920062,科润智控,9.07,2024-03-15
bj920066,科拜尔,18.27,2024-03-15
bj920068,天工股份,16.67,2024-03-15
bj920069,普昂医疗,35.89,2024-03-15
bj920072,科莱瑞迪,33.96,2024-03-15
bj920075,柏星龙,15.28,2024-03-15
bj920076,国亮新材,12.79,2024-03-15
bj920077,吉林碳谷,18.46,2024-03-15
bj920078,族兴新材,29.21,2024-03-15
bj920080,奥美森,23.69,2024-03-15
bj920082,方正阀门,8.12,2024-03-15
bj920083,金戈新材,47.5,2024-03-15
bj920086,科马材料,24.15,2024-03-15
bj920087,秋乐种业,10.0,2024-03-15
bj920088,科力股份,33.8,2024-03-15
bj920089,禾昌聚合,10.8,2024-03-15
bj920090,*ST同辉,3.61,2024-03-15
bj920091,大鹏工业,40.8,2024-03-15
bj920092,汉鑫科技,26.13,2024-03-15
bj920096,嘉晨智能,51.62,2024-03-15
bj920098,科隆新材,18.66,2024-03-15
bj920099,瑞华技术,22.67,2024-03-15
bj920100,三协电机,46.1,2024-03-15
bj920101,志高机械,18.0,2024-03-15
bj920106,林泰新材,39.19,2024-03-15
bj920108,宏海科技,9.64,2024-03-15
bj920110,雷特科技,24.99,2024-03-15
bj920111,聚星科技,36.63,2024-03-15
bj920112,巴兰仕,16.18,2024-03-15
bj920116,星图测控,69.58,2024-03-15
bj920118,太湖远大,19.03,2024-03-15
bj920119,美德乐,52.34,2024-03-15
bj920121,江天科技,29.05,2024-03-15
