date,open,high,low,close,volume
2015-01-05,7.58,7.78,7.31,7.6,2860436
2015-01-06,7.49,7.86,7.28,7.44,2166421
2015-01-07,7.28,7.47,7.1,7.23,1700121
2015-01-08,7.24,7.29,6.83,6.87,1407714
2015-01-09,6.83,7.5,6.69,6.95,2508500
2015-01-12,6.81,6.93,6.55,6.74,1553291
2015-01-13,6.65,6.83,6.62,6.67,816875
2015-01-14,6.74,7.03,6.69,6.76,1263030
2015-01-15,6.79,7.14,6.69,7.14,1242170
2015-01-16,7.17,7.33,7.02,7.15,1555846
2015-01-19,6.21,6.6,6.08,6.08,2137124
2015-01-20,6.08,6.24,5.9,6.08,1491018
2015-01-21,6.12,6.62,6.03,6.49,1940530
2015-01-22,6.44,6.56,6.31,6.41,1255016
2015-01-23,6.45,6.64,6.41,6.48,1459182
2015-01-26,6.45,6.51,6.31,6.44,1057606
2015-01-27,6.44,6.46,6.08,6.19,1339495
2015-01-28,6.11,6.41,6.06,6.24,1240878
2015-01-29,6.08,6.21,6.03,6.13,1016753
2015-01-30,6.15,6.28,6.03,6.15,930117
2015-02-02,5.92,6.06,5.89,5.94,860932
2015-02-03,6.05,6.19,5.94,6.17,883349
2015-02-04,6.2,6.23,5.99,6.0,807623
2015-02-05,6.41,6.5,6.03,6.06,1913729
2015-02-06,5.99,6.17,5.78,5.86,1030409
2015-02-09,5.85,5.98,5.66,5.87,946586
2015-02-10,5.85,6.08,5.8,6.04,724875
2015-02-11,6.05,6.1,5.98,6.01,554350
2015-02-12,6.03,6.13,5.94,6.1,608716
2015-02-13,6.15,6.33,6.09,6.17,887743
2015-02-16,6.17,6.21,6.01,6.15,721202
2015-02-17,6.17,6.28,6.15,6.19,680492
2015-02-25,6.23,6.24,6.03,6.06,577392
2015-02-26,6.06,6.26,5.92,6.25,1025544
2015-02-27,6.24,6.31,6.17,6.19,793570
2015-03-02,6.22,6.26,6.11,6.22,1018797
2015-03-03,6.19,6.19,5.92,5.92,1059476
2015-03-04,5.94,6.01,5.85,5.9,814973
2015-03-05,5.85,5.87,5.71,5.77,828605
2015-03-06,5.76,5.86,5.75,5.81,557048
2015-03-09,5.83,6.44,5.73,6.31,2205324
2015-03-10,6.2,6.28,6.04,6.04,1385706
2015-03-11,6.06,6.26,6.06,6.1,903354
2015-03-12,6.34,6.87,6.26,6.62,3305137
2015-03-13,6.83,7.32,6.76,6.89,3163988
2015-03-16,6.96,7.24,6.84,7.18,2218472
2015-03-17,7.25,7.45,7.07,7.17,1959842
2015-03-18,7.15,7.3,7.1,7.25,1831001
2015-03-19,7.23,7.23,6.98,7.03,1580300
2015-03-20,7.03,7.28,6.94,7.12,1976394
2015-03-23,7.12,7.28,7.12,7.19,1782056
2015-03-24,7.19,7.31,7.05,7.14,1559193
2015-03-25,7.09,7.12,6.82,6.83,1591468
