date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-24,2.9736,0.1802,0.1107,0.0695,0.0003,0.0
2026-02-25,2.9384,0.1845,0.2197,-0.0352,0.0003,0.0
2026-02-26,3.0545,0.2789,0.1629,0.1161,0.0003,0.0
2026-02-27,3.0544,0.1667,0.1668,-0.0001,0.0003,0.0
2026-03-02,3.03,0.2478,0.2721,-0.0244,0.0003,0.0
2026-03-03,3.0506,0.2378,0.2172,0.0206,0.0003,0.0
2026-03-04,3.0491,0.2667,0.2683,-0.0016,0.0003,0.0
2026-03-05,3.0181,0.206,0.2369,-0.031,0.0003,0.0
2026-03-06,2.8752,0.0907,0.2336,-0.1429,0.0003,0.0
2026-03-09,2.9007,0.2255,0.2,0.0255,0.0003,0.0
2026-03-10,2.8971,0.1046,0.1082,-0.0036,0.0003,0.0
2026-03-11,2.8817,0.4194,0.4348,-0.0154,0.0037,0.0
2026-03-12,3.0963,0.6423,0.4277,0.2146,0.0006,0.0
2026-03-13,2.8681,0.2645,0.4927,-0.2282,0.0035,0.0
2026-03-16,2.8569,0.2121,0.2233,-0.0113,0.0035,0.0
2026-03-17,2.8519,0.1494,0.1544,-0.005,0.0035,0.0
2026-03-18,2.8889,0.1989,0.1619,0.0371,0.003,0.0
2026-03-19,2.8208,0.153,0.2212,-0.0682,0.003,0.0
2026-03-20,2.7664,0.183,0.2374,-0.0544,0.0033,0.0
2026-03-23,2.761,0.2058,0.2112,-0.0054,0.0031,0.0
2026-03-24,2.7941,0.1509,0.1178,0.0331,0.0029,0.0
2026-03-25,2.7332,0.1939,0.2549,-0.0609,0.003,0.0
2026-03-26,2.7402,0.3931,0.386,0.007,0.0029,0.0
2026-03-27,2.7717,0.2557,0.2241,0.0315,0.0032,0.0
2026-03-30,2.7572,0.184,0.1985,-0.0145,0.0028,0.0
2026-03-31,2.8401,0.2234,0.1405,0.0829,0.0029,0.0
2026-04-01,2.839,0.1855,0.1866,-0.0011,0.0029,0.0
2026-04-02,2.8639,0.1369,0.112,0.0249,0.0031,0.0
2026-04-03,2.8738,0.1358,0.1259,0.0099,0.003,0.0
2026-04-07,2.8611,0.1391,0.1518,-0.0127,0.0032,0.0
2026-04-08,2.7803,0.1923,0.2731,-0.0807,0.0034,0.0
2026-04-09,2.8322,0.195,0.1432,0.0518,0.0032,0.0
2026-04-10,2.861,0.2248,0.1959,0.0289,0.0033,0.0
2026-04-13,2.8925,0.1349,0.1035,0.0314,0.0034,0.0
2026-04-14,2.9158,0.1456,0.1222,0.0234,0.003,0.0
2026-04-15,2.9581,0.1688,0.1265,0.0423,0.0004,0.0
2026-04-16,2.8998,0.2573,0.3156,-0.0583,0.0027,0.0
2026-04-17,2.8766,0.2227,0.2459,-0.0233,0.0029,0.0
2026-04-20,3.0499,0.435,0.2616,0.1733,0.0031,0.0
2026-04-21,3.0158,0.406,0.4401,-0.034,0.0038,0.0
2026-04-22,2.9933,0.2719,0.2944,-0.0226,0.003,0.0
2026-04-23,3.143,0.358,0.2082,0.1497,0.0028,0.0
2026-04-24,3.256,0.7303,0.6173,0.113,0.003,0.0
2026-04-27,3.0261,0.4657,0.6956,-0.2299,0.0034,0.0
2026-04-28,3.067,0.7982,0.7573,0.0409,0.0035,0.0
2026-04-29,3.1019,0.5057,0.4709,0.0348,0.0029,0.0
2026-04-30,3.0583,0.6314,0.675,-0.0436,0.0033,0.0
2026-05-06,3.245,0.9473,0.7606,0.1867,0.0042,0.0
2026-05-07,3.5001,1.1845,0.9294,0.2551,0.004,0.0
2026-05-08,3.5337,0.8104,0.7769,0.0335,0.0049,0.0
2026-05-11,3.7719,0.7856,0.5474,0.2382,0.0035,0.0
2026-05-12,3.855,0.5557,0.4727,0.0831,0.0042,0.0
2026-05-13,3.6768,0.5758,0.754,-0.1782,0.0025,0.0
2026-05-14,3.3892,0.3443,0.6319,-0.2876,0.0027,0.0
2026-05-15,3.3692,0.4199,0.4399,-0.02,0.0024,0.0
2026-05-18,3.3327,0.3647,0.4012,-0.0364,0.0023,0.0
2026-05-19,3.3332,0.2658,0.2654,0.0004,0.0025,0.0
2026-05-20,3.4208,0.3021,0.2145,0.0877,0.0024,0.0
2026-05-21,3.3474,0.2345,0.308,-0.0735,0.0038,0.0
2026-05-22,3.3485,0.3017,0.3005,0.0011,0.0038,0.0
2026-05-25,3.2778,0.2956,0.3662,-0.0706,0.0039,0.0
2026-05-26,3.357,0.5172,0.4381,0.0792,0.004,0.0
2026-05-27,3.3134,0.2614,0.3049,-0.0436,0.0039,0.0
2026-05-28,3.281,0.2172,0.2496,-0.0325,0.0038,0.0
2026-05-29,3.2689,0.2609,0.2729,-0.0121,0.0037,0.0
2026-06-01,3.2614,0.1388,0.1464,-0.0076,0.0037,0.0
2026-06-02,3.1109,0.1904,0.3408,-0.1505,0.0035,0.0
2026-06-03,3.133,0.1665,0.1444,0.0221,0.0034,0.0
2026-06-04,3.0821,0.1481,0.1989,-0.0509,0.0033,0.0
2026-06-05,3.0776,0.143,0.1475,-0.0045,0.0033,0.0
2026-06-08,3.0834,0.1242,0.1185,0.0057,0.0031,0.0
2026-06-09,3.0767,0.0856,0.0922,-0.0066,0.0031,0.0
2026-06-10,3.0678,0.1053,0.1142,-0.009,0.0032,0.0
2026-06-11,3.011,0.1197,0.1764,-0.0567,0.0021,0.0
2026-06-12,3.0011,0.1402,0.1501,-0.0099,0.0023,0.0
2026-06-15,2.9959,0.1435,0.1487,-0.0052,0.0023,0.0
2026-06-16,2.9957,0.118,0.1182,-0.0002,0.0022,0.0
2026-06-17,2.9661,0.1195,0.1492,-0.0296,0.0022,0.0
